IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacaoemIESInternacional,UltimaFiliacaoInter,UltimaFiliacaoBR
3317951774132214,4,1,CIENCIAS EXATAS E DA TERRA,1,63,20,REVISTA BRASILEIRA DE METEOROLOGIA; METEOROLOGY AND ATMOSPHERIC PHYSICS; {U} VIGO; JOURNAL OF GEOPHYSICAL RESEARCH; PURE AND APPLIED GEOPHYSICS PRINTED ED; EARTH SCIENCE FRONTIERS; INTERNATIONAL JOURNAL OF CLIMATOLOGY; CLIMATE DYNAMICS; THEORETICAL AND APPLIED CLIMATOLOGY; JOURNAL OF CLIMATE; THE NATIONAL SCIENCE FOUNDATION; {U} DE SAO PAULO; ATMOSPHERE; CLIMATE RESEARCH; SCIENTIFIC REPORTS; EARTH SYSTEM DYNAMICS; TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY; JOURNAL OF HYDROMETEOROLOGY; ANUARIO DO {I} DE GEOCIENCIAS UFRJ IMPRESSO; {UF} DE SAO PAULO; AUSTRIAN SCIENCE FUND; JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEM SCIENCE,JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEM SCIENCE,UNIVERSIDAD ,0,
3317953407482192,4,1,CIENCIAS HUMANAS; CIENCIAS SOCIAIS APLICADAS,1,4,4,CENTRO DE EDUCACAO INTEGRADA; {E} ESTADUAL PRESIDENTE ROOSEVELT; {U} POTIGUAR; {F} ESTACIO DO RIO GRANDE DO NORTE; {UF} DO RIO GRANDE DO NORTE; COLEGIO MARIE JOST; COLEGIO E CURSO SETA; ICARO COLEGIO E CURSO; QUIPUS; REVISTA AUGUSTUS UNISUAM ONLINE; {FC} CULTURA E EXTENSAO DO RIO GRANDE DO NORTE; SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA PARNAMIRIM; UFRN CENTRO DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA PARNAMIRIM; UFRN CENTRO DE EDUCACAO,0,0,570
3318015586866473,3,1,CIENCIAS DA SAUDE; CIENCIAS HUMANAS; CIENCIAS SOCIAIS APLICADAS,0,10,8,SECRETARIA DE SAUDE MUNICIPAL DO RECIFE; {U} SALGADO DE OLIVEIRA; CENTRO DE FORMACAO APERFEICOAMENTO PROFISSIONAL E PESQUISA; {UF} DE SAO PAULO; I CONFERENCIA MUNICIPAL DE SAUDE MENTAL INTERSETORIAL; {I} DE APOIO A FUND {U} DE PERNAMBUCO; {FC} HUMANAS ESUDA; {UF} DE PERNAMBUCO; {U} CATOLICA DE PERNAMBUCO; SECRETARIA ESTADUAL DE DEFESA SOCIAL E DIREITOS HUMANOS; SECRETARIA ESTADUAL DE SAUDE DE PERNAMBUCO; GRUPO DE ESTUDOS SOBRE ALCOOL E OUTRAS DROGAS; ASSOCIACAO BRASILEIRA DE PESQUISA EM PREVENCAO E PROMOCAO EM SAUDE; REVISTA PESQUISAS CLINICAS E PRATICAS PSICOSSOCIAIS; FUNDACAO OSWALDO CRUZ; MINISTERIO DA JUSTICA SECRETARIA NACIONAL DE POLITICAS SOBRE DROGAS; MINISTERIO DA SAUDE COORD NACIONAL SAUDE MENTAL ALCOOL E OUTRAS DROGAS; {I} DE PESQUISA AGGEU MAGALHAES; {I} DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA; ARGUMENTUM VITORIA; EPIDEMIOLOGIA E SERVICOS DE SAUDE; PREFEITURA DO RECIFE; {F} JOAQUIM NABUCO; {CU} MAURICIO DE NASSAU GRACAS; CONSELHO DE POLITICAS SOBRE ALCOOL E OUTRAS DROGAS DO MUNICIPIO DE RECIFE,PREFEITURA DO RECIFE; {CU} MAURICIO DE NASSAU GRACAS; CONSELHO DE POLITICAS SOBRE ALCOOL E OUTRAS DROGAS DO MUNICIPIO DE RECIFE,0,0,2835
3318039418411730,4,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS; CIENCIAS DA SAUDE,1,18,21,{CU} NEWTON PAIVA; REVISTA FUNADESP; {CU} UNA; COLEGIO NOSSA SENHORA DE NAZARE; BIOQUIMICA DO BRASIL; POS EM REVISTA; {CU} DE SETE LAGOAS,{CU} DE SETE LAGOAS,0,0,4962
3318052871162230,4,1,CIENCIAS SOCIAIS APLICADAS,1,9,10,VERBO ARQUITETURA; COMPUTERS AND EDUCATION; INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS; GESTAO AMP TECNOLOGIA DE PROJETOS; {U} DE SAO PAULO; SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL; {IF} DE SAO PAULO; POSREVISTA DO PROGRAMA DE POS GRADUACAO EM ARQUITETURA E URBANISMO DA FAU; JOURNAL OF BUILDING ENGINEERING,JOURNAL OF BUILDING ENGINEERING,0,0,
3318058969387615,4,1,CIENCIAS AGRARIAS,0,7,7,{U} DE PASSO FUNDO; {UF} DO RIO GRANDE; REVISTA DO {I} ADOLFO LUTZ IMPRESSO; {IF} FARROUPILHA; CIENCIA RURAL UFSM IMPRESSO,CIENCIA RURAL UFSM IMPRESSO,0,0,582
3318085652654563,3,0,CIENCIAS AGRARIAS; CIENCIAS BIOLOGICAS,1,26,19,{I} DE PESQUISAS E ESTUDOS FLORESTAIS; FLORESTAS RIO DOCE; CHAMFLORA MOGI GUACU AGROFLORESTAL; {I} DE PESQUISAS E ESTUDOS DA VIDA SILVESTRE; INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE; CONSORCIO NACIONAL DE ENGENHEIROS CONSULTORES SA; BIOMETRICA AVALIACOES BIOLOGICAS E MANEJO AMBIENTAL; SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANTANNA; REVISTA BRASILEIRA DE ZOOLOGIA; REVISTA BRASILEIRA DE BIOCIENCIAS IMPRESSO; PESQUISA FLORESTAL BRASILEIRA IMPRESSO; PLOAIA SERVICOS EM MEIO AMBIENTE LTDA; JGP CONSULTORIA E PARTICIPACOES LTDA; BIOTEMAS UFSC; REVISTA GEOTEMAS; GEOAMBIENTE ON LINE,GEOAMBIENTE ON LINE,@INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,0,
3318092155976689,4,0,CIENCIAS EXATAS E DA TERRA,1,1,4,{U} DE BRASILIA; {UE} DE GOIAS; UNIAO DE ENSINO SUPERIOR PAULO MARTINS; {UE} DO MARANHAO,{UE} DO MARANHAO,0,0,568
3318249404836724,3,1,CIENCIAS DA SAUDE; CIENCIAS SOCIAIS APLICADAS,1,5,3,PREFEITURA DE ALTINOPOLIS; {U} DE SAO PAULO; APIS FLORA INDUSTRIAL COMERCIAL; HOSPITAL DO CANCER DE RIBEIRAO PRETO FUNDACAO SOBECCAN; CENTRO ACADEMICO LOURENCO ROSELINO DA FCFRP USP; {FC} FARMACEUTICAS DE RIBEIRAO PRETO USP; DEFENSORIA PUBLICA DA UNIAO; PROCURADORIA REGIONAL DO TRABALHO REGIAO; {UF} DO ESPIRITO SANTO; ATITUDE PRE VESTIBULAR,{UF} DO ESPIRITO SANTO,0,0,573
3318254935346857,4,1,LINGUISTICA LETRAS E ARTES,1,5,14,{U} DO SUL DE SANTA CATARINA; {UE} DE SANTA CATARINA; {I} CULTURAL ITAU; ARTE NO BRASIL TEXTOS CRITICOS DO SECULO XX DOCUMENTS OF TH CENTURY; BOLETIM DO GRUPO DE ESTUDOS DE ARTE E FOTOGRAFIA DA ECAUSP; {I} MOREIRA SALLES; {U} DE SAO PAULO; REVISTA ZUM,{U} DE SAO PAULO,0,0,55
3318273080797000,4,1,CIENCIAS BIOLOGICAS,1,2,5,{UF} DO PARANA; UNIDADE DE ENSINO SUPERIOR VALE DO IGUACU,UNIDADE DE ENSINO SUPERIOR VALE DO IGUACU,0,0,
3318298991459199,4,0,CIENCIAS SOCIAIS APLICADAS,0,5,4,CONTROLADORIA GERAL DA UNIAO; MINISTERIO PUBLICO DO TRABALHO; {E} DE ADMINISTRACAO FAZENDARIA; {CU} DE BRASILIA; REVISTA DA CGU; FUCAPE; BBR BRAZILIAN BUSINESS REVIEW EDICAO EM PORTUGUES ONLINE; REVISTA DE CONTABILIDADE E ORGANIZACOES; {UF} DO ESPIRITO SANTO; BASE SAO LEOPOLDO ONLINE,BASE SAO LEOPOLDO ONLINE,0,0,
3318321557058533,4,1,CIENCIAS DA SAUDE,1,5,1,{U} DE SAO PAULO; {UF} DO AMAZONAS,,0,0,
3318370647187875,7,1,LINGUISTICA LETRAS E ARTES,0,1,7,{U} PEDAGOGICA; {U} PEDAGOGICA PEPITO TEY,,UNIVERSIDAD ,0,
3318394340027474,4,1,CIENCIAS SOCIAIS APLICADAS,1,58,23,{U} DE FRANCA; {F} DE DIREITO DE FRANCA; {F} ESTADUAL PAULISTA JULIO DE MESQUITA FILHO; MINISTERIO DA EDUCACAO; ORDEM DOS ADVOGADOS DOS BRASIL; REVISTA JURIDICA DA {U} DE FRANCA; {FC} HUMANAS E SOCIAIS; QUESTOES ATUAIS DE DIREITO E PROCESSO; ANOS DA CONSTITUICAO DA REPUBLICA FEDERATIVA DO BRASIL INFLUENCIA DO DI; REVISTA CEJ BRASILIA; REVISTA DOS ACADEMICOS DE DIREITO DA FCHS; EDITORACAO ELETRONICA DOS PERIODICOS ON LINE DA FCHS; REVISTA ELETRONICA DO CURSO DE DIREITO DA UFSM,{FC} HUMANAS E SOCIAIS; REVISTA ELETRONICA DO CURSO DE DIREITO DA UFSM,0,0,145
3318395560331020,5,,CIENCIAS EXATAS E DA TERRA,1,2,2,{UF} DO TOCANTINS; {UF} FLUMINENSE; {UF} DO SUL DA BAHIA,{UF} DO SUL DA BAHIA,0,0,18812
3318481237807704,5,1,CIENCIAS HUMANAS,1,2,13,YOUR ENGLISH SCHOOL; {UE} DO MARANHAO; {IES} FRANCISCANO; {U} ABERTA DO BRASIL UAB {UE} DO MARANHAO UEMA; {UF} DO MARANHAO,{UF} DO MARANHAO,0,0,548
3318503909491827,3,0,ENGENHARIAS; CIENCIAS HUMANAS; CIENCIAS EXATAS E DA TERRA; CIENCIAS AGRARIAS,0,7,7,{E} FAMILIA AGRICOLA EFA PURIS; {IF} DO NORTE DE MINAS GERAIS; CENTRO DE TECNOLOGIAS ALTERNATIVAS DA ZONA DA MATA; {UF} DE VICOSA; {IF} DO SUDESTE DE MINAS GERAIS,{IF} DO SUDESTE DE MINAS GERAIS,0,0,3279
3318505161162217,4,1,CIENCIAS SOCIAIS APLICADAS; CIENCIAS HUMANAS,0,3,4,{UE} DA PARAIBA; {UF} DA PARAIBA; {UE} DA PARAIBA PB,,0,0,
3318606905446133,5,1,CIENCIAS HUMANAS; CIENCIAS SOCIAIS APLICADAS,0,2,9,FUNDACAO METROPOLITANA DE PLANEJAMENTO SECRETARIA ESTADUAL DE PLANEJAMENTO; ASSESSORIA E CONSULTORIA TECNICA DE PROJETOS SOCIAIS; ASSESSORIA JURIDICA E ESTUDOS DE GENERO; FUNDACAO CULTURAL PALMARES MINISTERIO DA CULTURA; PREFEITURA MUNICIPAL DE ALVORADA; CONSULTORIA INDIVIDUAL; SECRETARIA DE PROMOCAO DA IGUALDADE DO ESTADO DA BAHIA; {FIS} DE TAQUARA; FUNDACAO {U} EMPRESA DE TECNOLOGIA E CIENCIA; {FIS} SAO JUDAS TADEU; {IF} CIENCIA TEC RS RESTINGA; CENTRO DE REFERENCIA EM DIREITOS HUMANOSDEFENSORIA PUBLICA RS; REVISTA DA DEFENSORIA PUBLICA DO ESTADO DO RS; {UF} DO RIO GRANDE DO SUL; SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL; {IF} SUL RIO GRANDENSE,{IF} SUL RIO GRANDENSE,0,0,1578
3318637589966167,10,1,CIENCIAS HUMANAS; CIENCIAS EXATAS E DA TERRA,1,1,10,{UE} PAULISTA JULIO DE MESQUITA FILHO,{UE} PAULISTA JULIO DE MESQUITA FILHO,0,0,56
3318641080643496,3,0,CIENCIAS DA SAUDE,0,42,5,{U} JOSE DO ROSARIO VELLANO; {U} DE COIMBRA; BIO HEALTH ACADEMIA; {U} REGIONAL DO CARIRI; {F} CATOLICA RAINHA DO SERTAO; HEALTH AND QUALITY OF LIFE OUTCOMES; NEO NUTRI SUPLEMENTOS NUTRICIONAIS; CENTRO DE TREINAMENTO E ATIVIDADE FISICA BIEN HOO; {UF} DO TOCANTINS; DISABILITY AND REHABILITATION ONLINE; PSYCHOLOGY HEALTH AMP MEDICINE; MOTRIZ REVISTA DE EDUCACAO FISICA ONLINE; MOTRICIDADE SANTA MARIA DA FEIRA; EXPERIMENTAL GERONTOLOGY; CLINICAL INTERVENTIONS IN AGING; THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE; HEALTHCARE,CLINICAL INTERVENTIONS IN AGING; THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE; HEALTHCARE,@{U} DE COIMBRA,0,
3318671514822012,3,0,CIENCIAS DA SAUDE,0,2,6,{U} DO VALE DO SAPUCAI; HOSPITAL ANA MOREIRA SALLES,,0,0,
3318686683743853,4,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,5,12,AGENCIA REGULADORA DE SANEAMENTO E ENERGIA DE SAO PAULO; {UE} DE CAMPINAS; ITAU UNIBANCO; {IF} DE SAO PAULO; KNBS KNOWLEDGE NETWORKS E BUSINESS SOLUTIONS; REVISTA QUALIF ENSINO DE CIENCIAS E TECNOLOGIAS IFSP CUBATAO; ANAIS DO O CONGRESSO DE POS GRADUACAO CONPOG; ANAIS DO O CONGRESSO DE INOVACAO CIENCIA E TECNOLOGIA DO IFSP CONICT; ANAIS II SIMPOSIO DE ENGENHARIA GESTAO E INOVACAO SENGI,ANAIS II SIMPOSIO DE ENGENHARIA GESTAO E INOVACAO SENGI,0,0,
3318707277023349,4,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,98,16,{UE} PAULISTA JULIO DE MESQUITA FILHO; {I} NACIONAL DE PESQUISAS ESPACIAIS; COLEGIO TECNICO INDUSTRIAL DE GUARATINGUETA; {IT} DE AERONAUTICA; SURFACE AMP COATINGS TECHNOLOGY; {U} DO VALE DO PARAIBA; IEEE TRANSACTIONS ON PLASMA SCIENCE; CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO; MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING; APPLIED PHYSICS LETTERS ON LINE; AMERICAN JOURNAL OF CONDENSED MATTER PHYSICS; PLASMA SOURCES SCIENCE AMP TECHNOLOGY PRINT; BRAZILIAN JOURNAL OF PHYSICS IMPRESSO; {U} DE SAO PAULO; VACUUM OXFORD; FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO; CZECH SCIENCE FOUNDATION; THIN SOLID FILMS; MATERIA; CERAMICA SAO PAULO IMPRESSO; COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA; MATERIALS RESEARCH SAO CARLOS IMPRESSO; JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS; CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES; CANADIAN JOURNAL OF PHYSICS ONLINE; PHYSICAL CHEMISTRY CHEMICAL PHYSICS; PHYSICAL REVIEW LETTERS; PHYSICAL REVIEW; NANOSCALE RESEARCH LETTERS ONLINE; JOURNAL OF VACUUM SCIENCE AMP TECHNOLOGY A INTERNATIONAL JOURNAL DEVOTED TO; {U} BRASIL; REVIEW OF SCIENTIFIC INSTRUMENTS; {U} DE TAUBATE; METALPLASMA LTDA; {UE} DE SANTA CATARINA; TURBOMACHINE; APPLIED SURFACE SCIENCE; INCHEON NATIONAL {U}; JOURNAL OF MATERIALS RESEARCH; MATERIALS; MATERIALS TODAY PROCEEDINGS; SURFACES AND INTERFACES; FRONTIERS IN MECHANICAL ENGINEERING; JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY; CHEMICAL ENGINEERING JOURNAL; JOURNAL OF APPLIED PHYSICS; POLYMERS,POLYMERS,0,0,
3318712427966445,2,1,,0,3,2,{CU} SAO CAMILO ESPIRITO SANTO; FAVENI; FUNDACAO UNIVENETO; SECRETARIA ESTADUAL DE EDUCACAO DO ESPIRITO SANTO; CENTRO EDUCACIONAL LUDO; {E} DE O E O GRAU JOAO BLEY; {E} UNIDOCENTE FAZENDA MARIA MANOEL NOVO; {E} DE O GRAU FELINTO MARTINS; {E} DE ENSINO MEDIO EMILIO NEMER; SUB NUCLEO REGIONAL DE EDUCACAO DE CASTELO; ASSOCIACAO E PAIS E AMIGOS DOS EXCEPCIONAIS DE CASTELO; SUPERINTENDENCIA REGIONAL DE EDUCACAO DE CACHOEIRO DE ITAPEMIRIM; SECRETARIA MUNICPAL DE EDUCACAO DE CASTELO; SECRETARIA MUNICIPAL DE EDUCACAO DE CACHOEIRO DE ITAPEMIRIM; SECRETARIA MUNICIPAL DE EDUCACAO DE VARGEM ALTA; SECRETARIA MUNICIPAL DE EDUCACAO DE MUQUI; SECRETARIA MUNICIPAL DE EDUCACAO DE GUARAPARI; SECRETARIA MUNICIPAL DE EDUCACAO DE PRESIDENTE KENNEDY; {I} NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANISIO TEIXEIRA; SECRETARIA MUNICIPAL DE EDUCACAO DE MIMOSO DO SUL; {F} PITAGORAS GUARAPARI; SECRETARIA MUNICIPAL DE EDUCACAO DE PK ES,SECRETARIA MUNICIPAL DE EDUCACAO DE PK ES,0,0,
3318778220382561,3,0,,0,1,3,,,0,0,
3318783460053911,4,1,CIENCIAS AGRARIAS; CIENCIAS HUMANAS,0,11,8,{F} DE PAULINIA; EDUCACAO MUNICIPAL PARA A FORMACAO COMUNITARIA; {U} PAULISTA; {I} AGRONOMICO DE CAMPINAS; {I} DE TECNOLOGIA DE ALIMENTOS; {UE} DE CAMPINAS; {F} DE JAGUARIUNA; {ES} DE AGRICULTURA LUIS DE QUEIROS; EMBRAPA AGROBIOLOGIA; EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA; CADERNOS DE AGROECOLOGIA; {UF} RURAL DO RIO DE JANEIRO,{UF} RURAL DO RIO DE JANEIRO; EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,0,0,574
3318815145783117,4,1,LINGUISTICA LETRAS E ARTES,1,7,14,{UE} PAULISTA JULIO DE MESQUITA FILHO; {CU} DE VOTUPORANGA; LINGUA AMP EDUCACAO; {U} DE SAO PAULO; CONSULAT GENERAL DE FRANCE A SAO PAULO; {CU} DAS {F} METROPOLITANAS UNIDAS; INTERFACES CIENTIFICAS HUMANAS E SOCIAIS; {UF} DO ESPIRITO SANTO,{U} DE SAO PAULO; {UF} DO ESPIRITO SANTO,0,0,55;573
3318824168131775,5,0,CIENCIAS DA SAUDE,0,28,23,{UE} DE CAMPINAS; INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS ; FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO; JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH; JOURNAL OF ISAKOS; {FC} MEDICAS UNICAMP; JOURNAL OF ORTHOPAEDIC AND SAFETY RESEARCH,JOURNAL OF ORTHOPAEDIC AND SAFETY RESEARCH,0,0,
3318842657112869,3,1,CIENCIAS DA SAUDE,0,1,3,FISIOCLINICA; FISIOTERAPIA E TERAPIA OCUPACIONAL; CLINICA DE FISIOTERAPIA E RPG; FUNDACAO PIO XII,FUNDACAO PIO XII,0,0,
3318871716111536,4,1,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,0,292,36,{UF} DO RIO GRANDE DO NORTE; CERAMICA; JOURNAL OF SOLID STATE CHEMISTRY; JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY; MATERIALS RESEARCH BULLETIN; JOURNAL OF MATERIALS CHEMISTRY; THERMOCHIMICA ACTA; CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO,{UF} DO RIO GRANDE DO NORTE,0,0,570
3318878067835821,4,0,CIENCIAS EXATAS E DA TERRA,1,9,8,{UF} DE MINAS GERAIS; PLASTICOS DIVINOPOLIS; SAO GONCALO SIDERURGIA; FARMAX INDUSTRIA FARMACEUTICA; MINI REVIEWS IN ORGANIC CHEMISTRY; JOURNAL OF MOLECULAR STRUCTURE PRINT; QUIMICA NOVA ONLINE; {IF} DO SUL DE MINAS GERAIS; JORNADA CIENTIFICA E TECNOLOGICA DO IFSULDEMINAS; JOURNAL OF CHEMISTRY; AFINIDAD BARCELONA,{IF} DO SUL DE MINAS GERAIS,0,0,4358
3318931984042786,3,1,CIENCIAS HUMANAS,0,43,28,{PUC} DE CAMPINAS; {UE} DE CAMPINAS,{UE} DE CAMPINAS,0,0,5359
