IDLattes,DuracaoDoutorado,Genero,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,HistoricoFiliacaoemIESInternacional
3325611126601865,4.0,1.0,1,1,4.0,0
3325614592759702,4.0,0.0,1,21,21.0,0
3325620850110369,4.0,0.0,1,38,12.0,0
3325628727082955,3.66666666666667,0.0,0,2,36.0,0
3325629339853230,7.0,0.0,0,1,7.0,0
3325672929177995,4.0,0.0,0,11,3.0,0
3325680371547884,4.0,0.0,0,29,40.0,1
3325702043725205,4.0,0.0,1,26,11.0,0
3325831466415520,4.0,0.0,0,10,5.0,0
3325850609550195,4.0,0.0,0,3,17.0,0
3325871410515654,5.0,1.0,1,2,5.0,0
3325920808756534,8.0,0.0,1,2,13.0,1
3325953306358382,4.0,1.0,0,15,6.0,0
3325971276584600,4.0,1.0,1,5,10.0,0
3326018680801684,4.0,0.0,1,8,8.0,0
3326064380579514,7.0,1.0,1,25,20.0,0
3326078281247939,4.0,1.0,1,8,5.0,1
3326079765076830,5.0,0.0,0,34,22.0,0
3326086315712780,12.0,1.0,0,7,19.0,1
3326147444101514,5.0,0.0,1,2,6.0,0
3326160083213059,4.0,1.0,1,16,18.0,0
3326184726476427,4.0,1.0,0,12,19.0,0
3326235586862025,5.0,0.0,0,1,5.0,0
3326247015071472,6.0,1.0,0,1,6.0,0
3326310564405972,4.0,0.0,0,2,4.0,0
3326337763838929,3.0,1.0,0,1,3.0,0
3326379949520549,4.0,1.0,1,23,18.0,0
3326406651803063,3.0,0.0,0,4,8.0,0
3326406998738042,5.0,1.0,1,7,6.0,0
3326445649802244,4.0,1.0,1,1,6.0,0
3326487212250779,3.0,0.0,0,4,25.0,1
3326507241422463,5.0,0.0,1,2,7.0,0
3326522478832809,4.0,0.0,1,136,17.0,1
3326569119643929,4.0,1.0,1,4,5.0,0
3326569261748329,4.0,1.0,1,2,1.0,0
3326612002858051,3.0,1.0,1,4,3.0,0
3326622246355582,4.0,1.0,1,3,4.0,0
3326702736119372,4.0,0.0,1,3,3.0,1
3326759383856112,1.0,0.0,0,107,29.0,1
3326773034222088,3.0,1.0,0,39,11.0,0
3326858103129656,2.0,1.0,0,45,18.0,0
3326866437125626,4.0,0.0,0,5,11.0,0
3326885036172824,3.0,1.0,0,7,3.0,0
3326944443401047,5.0,0.0,1,2,2.0,0
3326980483979665,3.0,0.0,1,330,28.0,1
3326982886345825,4.0,1.0,1,2,2.0,0
3327053007432133,4.0,1.0,0,28,4.0,0
3327053016992475,4.0,0.0,1,11,4.0,0
3327067317609703,2.0,1.0,0,9,8.0,0
3327139629959668,5.0,1.0,1,1,5.0,0
3327144201167140,4.0,1.0,1,2,8.0,0
3327222327586448,6.0,0.0,1,27,8.0,0
3327284927688083,2.0,0.0,0,47,17.0,0
3327328329281920,3.0,0.0,1,20,7.0,0
3327375654668230,4.0,0.0,0,10,33.0,0
3327377779329898,3.0,0.0,1,3,3.0,0
3327378112714104,4.0,0.0,0,49,32.0,1
3327392013196401,4.0,0.0,1,1,4.0,0
3327401724432828,7.0,0.0,1,1,7.0,1
3327412577090004,5.0,0.0,1,11,18.0,0
3327447289974267,5.0,0.0,1,9,5.0,0
3327496684218940,3.0,0.0,0,6,5.0,1
3327518583368622,4.0,1.0,0,41,10.0,0
3327526959691724,5.0,1.0,0,132,34.0,0
3327551109816641,3.0,1.0,1,10,8.0,0
3327612734358651,4.0,0.0,0,7,6.0,0
3327628349490761,4.0,0.0,1,37,11.0,0
3327639938359536,4.0,1.0,1,35,28.0,0
3327673910047431,4.0,1.0,0,58,15.0,0
3327719269555811,4.0,1.0,1,32,14.0,1
3327746236104512,5.0,0.0,0,13,9.0,0
3327830215420813,4.0,1.0,0,1,6.0,0
3327854650988868,4.0,0.0,1,4,14.0,0
3327895102378790,4.0,0.0,1,5,9.0,0
3327942131212745,1.0,0.0,0,1,1.0,0
3327944082515050,3.0,0.0,1,7,8.0,0
3327963506561671,6.0,1.0,0,1,6.0,0
3328010260367625,4.0,1.0,1,5,4.0,0
3328043307569119,5.0,1.0,1,29,9.0,0
3328077086146537,4.0,0.0,0,24,18.0,0
3328089781552049,4.0,0.0,0,3,4.0,0
3328106717405795,5.0,0.0,0,40,16.0,0
3328212638040851,3.0,0.0,0,85,9.0,1
3328215570454809,3.0,0.0,1,145,53.0,0
3328287763078437,4.0,1.0,0,1,4.0,0
3328302135672928,4.0,1.0,1,8,9.0,0
3328314264518039,4.0,1.0,1,10,11.0,1
3328348363883576,3.0,1.0,1,2,3.0,0
3328422790889056,3.0,0.0,0,3,4.0,0
3328473745215437,2.0,1.0,0,34,4.0,0
3328496610585626,5.0,1.0,0,1,5.0,0
3328515050759906,4.0,1.0,1,31,11.0,1
3328545959112090,4.0,0.0,0,46,39.0,0
3328549658105742,4.0,1.0,1,12,11.0,0
3328551697204744,4.0,1.0,1,11,7.0,0
3328596637880268,3.0,0.0,1,8,12.0,0
3328599957470072,4.0,0.0,1,9,14.0,0
3328621476604840,4.0,0.0,0,5,5.0,0
3328632520501565,4.0,1.0,1,68,29.0,1
3328659036555905,4.0,0.0,1,6,13.0,0
3328667670494092,4.0,1.0,1,7,9.0,0
3328703170039200,6.0,1.0,0,1,6.0,0
3328703281752203,4.0,1.0,1,9,5.0,0
3328720758375543,4.0,1.0,0,2,4.0,0
3328732892972960,4.0,0.0,1,9,12.0,0
3328768966080484,4.0,1.0,0,5,2.0,0
3328777524800655,4.0,1.0,0,1,4.0,0
3328814682909131,6.0,0.0,0,17,35.0,0
3328842237693075,3.0,0.0,0,33,7.0,0
3328854139935443,4.0,0.0,0,3,4.0,0
3328880063861718,4.0,0.0,1,1,4.0,0
3328904796449774,3.0,1.0,1,19,12.0,0
3328920913557504,4.0,0.0,1,4,5.0,0
3328975370989962,4.0,0.0,1,7,4.0,0
3328981487813298,3.0,1.0,1,9,19.0,0
3328987687756236,7.0,1.0,0,1,7.0,0
3328999007748920,4.0,0.0,1,12,27.0,0
3329015374505191,4.0,0.0,1,49,40.0,0
3329079748927880,5.0,1.0,0,5,6.0,0
3329083517926813,5.0,1.0,1,2,5.0,0
3329108103348401,4.0,0.0,1,32,12.0,0
3329124813368713,2.0,1.0,0,1,2.0,0
3329203465610170,4.0,1.0,1,1,4.0,0
3329274346736418,1.5,0.0,1,8,3.0,0
3329329091837689,3.0,1.0,1,96,10.0,1
3329335512328582,5.0,0.0,1,10,7.0,1
3329346456277317,4.0,1.0,1,1,5.0,0
3329391536731357,3.0,0.0,1,17,17.0,0
3329422192150708,4.0,1.0,1,20,4.0,0
3329493534907304,4.0,0.0,1,17,6.0,0
3329558008036765,3.0,1.0,1,6,5.0,0
3329563140947244,1.0,0.0,1,26,23.0,0
3329590820765799,4.0,0.0,1,3,14.0,0
3329620367748716,2.0,0.0,1,13,13.0,0
3329638813113209,2.0,1.0,0,32,8.0,0
3329640634764966,1.0,0.0,1,77,14.0,0
3329651790583766,4.0,0.0,1,1,3.0,0
3329660012868284,4.0,1.0,1,1,4.0,0
3329674337336045,4.0,0.0,0,1,4.0,0
3329681502175323,4.0,0.0,0,6,2.0,0
3329684556445688,4.0,0.0,1,11,14.0,0
3329747188657888,4.0,0.0,1,5,14.0,0
3329750078168104,5.0,1.0,1,30,6.0,0
3329787303344019,3.0,0.0,0,1,3.0,0
3329790224682542,6.0,0.0,0,6,7.0,0
3329795767651284,2.0,0.0,1,73,38.0,0
3329858569503868,4.0,1.0,1,21,11.0,1
3329904381084143,5.0,0.0,0,8,9.0,0
3329911182591961,4.0,1.0,1,11,7.0,0
3329917469139420,5.0,0.0,0,58,52.0,1
3329923430832238,2.0,0.0,0,9,3.0,0
3329949026807503,2.0,0.0,0,9,2.0,0
3329962451741174,4.0,0.0,0,2,1.0,0
3329996365988387,4.0,1.0,1,20,4.0,0
3330059485944087,4.0,0.0,1,6,2.0,0
3330111993244865,5.0,0.0,0,6,4.0,0
3330131596878311,4.0,1.0,0,15,18.0,0
3330162813104593,3.0,0.0,0,23,11.0,0
3330175940424250,5.0,0.0,1,9,12.0,0
3330183452703633,4.0,0.0,1,14,5.0,0
3330201850631225,4.0,0.0,1,41,9.0,0
3330215813777042,5.0,1.0,1,13,9.0,0
3330241793798319,5.0,0.0,1,3,5.0,0
3330278864387592,4.0,1.0,1,6,17.0,0
3330347210394451,5.0,1.0,0,6,7.0,0
3330374396825288,4.0,1.0,0,5,6.0,1
3330379013436625,5.0,0.0,0,1,5.0,1
3330385596576917,5.0,0.0,1,27,12.0,0
3330394905285822,4.0,0.0,0,1,4.0,0
3330399361240705,5.0,0.0,0,1,5.0,0
3330419904032861,4.0,0.0,1,11,4.0,1
3330444987520974,3.0,0.0,0,145,26.0,0
3330534816691255,4.0,0.0,1,21,6.0,0
3330548000977728,6.0,0.0,0,1,6.0,1
3330565353974440,3.0,1.0,0,3,1.0,0
3330578073596410,4.0,0.0,1,3,5.0,0
3330592519321312,4.0,1.0,1,9,8.0,0
3330604206800847,4.0,1.0,1,3,6.0,0
3330627470269776,4.0,0.0,1,8,6.0,0
3330664202102987,4.0,0.0,0,5,7.0,0
3330682105426856,4.0,1.0,1,133,24.0,0
3330684865751520,4.0,0.0,1,44,21.0,0
3330703668248614,5.0,1.0,1,5,7.0,0
3330710354856664,3.0,0.0,1,32,18.0,0
3330740836125346,4.0,0.0,1,44,10.0,0
3330760974469768,4.0,1.0,1,5,7.0,0
3330802145874091,4.0,0.0,0,2,4.0,0
3330816610953105,5.0,0.0,1,32,39.0,0
3330824286491876,4.0,1.0,1,2,4.0,0
3330836585519793,7.0,0.0,0,8,9.0,1
3330895621776590,4.0,1.0,1,11,6.0,0
3330921522924928,4.0,1.0,1,1,4.0,0
3330933391080490,5.0,1.0,1,5,18.0,0
3330976062026878,5.0,1.0,1,65,27.0,0
3331012295952009,7.0,1.0,0,6,7.0,1
3331023967028359,4.0,1.0,1,2,4.0,0
3331091276265413,5.0,1.0,1,22,20.0,0
3331168179532970,3.0,0.0,1,8,5.0,0
3331213163455091,2.0,1.0,0,5,2.0,0
3331232039328857,3.0,0.0,1,1,3.0,0
3331234730616226,3.0,0.0,0,69,43.0,0
3331244094524372,4.0,0.0,0,13,17.0,1
3331259693083151,4.0,1.0,1,7,11.0,0
3331262791945658,4.0,0.0,0,6,4.0,0
3331264728701825,2.5,1.0,1,2,2.5,0
3331282174025098,6.0,1.0,1,12,11.0,1
3331296146662983,4.0,1.0,0,1,4.0,0
3331299495526036,4.0,1.0,1,24,13.0,0
3331339486506743,4.0,0.0,1,4,6.0,0
3331383080445427,4.0,1.0,0,1,4.0,0
3331384826336719,2.5,1.0,1,32,9.0,1
3331411711330733,4.0,1.0,0,1,4.0,0
3331509597576564,3.0,0.0,0,6,5.0,0
3331520331936550,6.0,0.0,1,1,6.0,0
3331530294036884,4.0,1.0,1,5,7.0,0
3331564512695997,4.0,1.0,0,5,7.0,0
3331578209040434,4.0,0.0,0,12,5.0,0
3331599922816939,3.0,0.0,1,9,3.0,0
3331662731100435,2.0,0.0,0,182,15.0,0
3331665967689811,3.0,0.0,1,40,13.0,0
3331693841423923,6.0,0.0,1,22,8.0,0
3331704137363554,6.0,0.0,0,11,13.0,0
3331716215384023,4.0,1.0,0,1,4.0,1
3331770192196697,4.0,0.0,0,3,5.0,0
3331812490308225,5.0,1.0,0,21,15.0,0
3331838699465590,7.0,0.0,1,14,14.0,0
3331896675430772,4.0,0.0,1,17,8.0,0
3331903902111592,4.0,0.0,1,3,2.0,0
3331919516203905,3.0,1.0,0,2,3.0,0
3331944850572318,4.0,1.0,1,10,11.0,1
3331956866358374,4.0,1.0,1,20,6.0,1
3332021248039734,4.0,0.0,1,31,9.0,0
3332030650229619,2.0,1.0,1,26,9.0,0
3332046032925772,4.0,0.0,0,8,5.0,1
3332049167946872,4.0,1.0,0,1,4.0,0
3332066446630062,5.0,1.0,0,6,6.0,0
3332097056536710,2.0,0.0,0,31,13.0,0
3332107317093873,4.0,1.0,1,78,12.0,0
3332120034331110,2.0,1.0,0,26,12.0,0
3332126890213461,4.0,1.0,1,7,8.0,0
3332143224735260,4.0,0.0,1,20,13.0,1
3332170932599310,1.0,0.0,0,10,20.0,0
3332190265116367,3.0,0.0,0,1,3.0,0
3332276133129278,5.0,1.0,0,10,21.0,1
3332287915205530,4.0,0.0,1,33,21.0,1
3332362412518847,3.0,0.0,0,18,4.0,0
3332386988923362,5.0,0.0,0,1,5.0,0
3332484580233510,4.0,1.0,1,27,15.0,0
3332503044995327,3.0,0.0,1,7,10.0,0
3332553879134569,4.0,1.0,1,2,1.0,0
3332580669417373,4.0,1.0,0,4,4.0,0
3332611050599580,6.0,1.0,1,10,14.0,0
3332671066828692,4.0,0.0,1,5,22.0,0
3332707718785621,2.0,0.0,1,31,9.0,0
3332716635762097,4.0,0.0,1,6,5.0,0
3332818664817080,4.0,1.0,0,6,5.0,0
3332887602669814,4.0,1.0,1,7,9.0,0
3332912866849037,5.0,1.0,1,9,6.0,0
3332921621876874,2.0,0.0,0,23,18.0,0
3332943083162678,6.0,0.0,0,38,14.0,0
3332945729478396,4.0,0.0,0,22,7.0,0
3332983150165256,4.0,0.0,1,52,34.0,1
3332990159916833,3.0,0.0,1,44,30.0,0
3333000136853156,2.0,0.0,1,23,26.0,0
3333060438140996,4.0,0.0,0,2,5.0,0
3333078321224968,5.0,1.0,0,1,5.0,0
3333085900393274,2.0,0.0,0,6,5.0,0
3333132054799190,3.0,1.0,1,49,17.0,0
3333320192474875,5.0,0.0,0,1,5.0,0
3333366022661114,5.0,0.0,1,1,5.0,0
3333384667881346,4.0,1.0,1,13,5.0,0
3333418549481857,4.0,1.0,0,19,18.0,1
3333431692560118,5.0,1.0,1,7,6.0,0
3333445513208066,5.0,0.0,1,160,28.0,0
3333466607118191,4.0,1.0,0,74,17.0,0
3333546931886017,4.0,0.0,1,8,3.0,0
3333575573027236,4.0,0.0,1,41,19.0,0
3333628749598945,3.0,1.0,1,30,30.0,0
3333759692428239,4.0,0.0,1,108,23.0,0
3333781717771143,4.0,0.0,1,25,11.0,0
3333782223605106,3.0,0.0,1,72,40.0,0
3333803181180587,5.0,1.0,1,5,8.0,0
3333824777147753,2.5,0.0,1,3,1.0,0
